Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,0.0032,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.002,0.001,2,0.001
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.952e+00,-0.00032,-2e-05,-0.6,-0.00016
-1.949e+00,-0.00016,0.00014,-0.84,0.0002
-1.946e+00,-0.00016,2e-05,-1.08,-8e-05
-1.942e+00,-9.53674e-11,-6e-05,-1.24,-4e-05
-1.939e+00,-0.00016,-2e-05,-1.4,-4e-05
-1.936e+00,-0.00016,6e-05,-1.56,4e-05
-1.933e+00,-8.00001e-05,0.00014,-1.32,2.98023e-12
-1.930e+00,7.99999e-05,-6e-05,-1.16,-8e-05
-1.926e+00,-9.53674e-11,-6e-05,-1,2.98023e-12
-1.923e+00,-8.00001e-05,-2e-05,-0.76,4e-05
-1.920e+00,-9.53674e-11,0.00022,-0.6,-0.00012
-1.917e+00,-9.53674e-11,6e-05,-0.36,-8e-05
